9.839593768119812012e-01,4.516325425356626511e-03,1.152424421161413193e-02
9.938264489173889160e-01,5.125752184540033340e-03,1.047768979333341122e-03
9.980523586273193359e-01,1.194847631268203259e-03,7.528368150815367699e-04
9.977385997772216797e-01,1.404967159032821655e-03,8.564647869206964970e-04
9.996875524520874023e-01,1.902232907013967633e-04,1.222041173605248332e-04
9.976836442947387695e-01,5.883142584934830666e-04,1.727970666252076626e-03
9.979294538497924805e-01,1.936874585226178169e-03,1.337184075964614749e-04
9.992985725402832031e-01,6.541711045429110527e-04,4.726595216197893023e-05
9.940423369407653809e-01,5.883729085326194763e-03,7.395038119284436107e-05
9.975509047508239746e-01,2.397090895101428032e-03,5.204238186706788838e-05
9.973700046539306641e-01,2.379956422373652458e-03,2.500467526260763407e-04
9.982520937919616699e-01,1.574026769958436489e-03,1.738702558213844895e-04
1.117371395230293274e-01,4.118269085884094238e-01,4.764359593391418457e-01
3.327442333102226257e-03,7.765766349621117115e-04,9.958959817886352539e-01
1.171574986074119806e-04,3.851934743579477072e-04,9.994976520538330078e-01
3.257229691371321678e-04,2.987145213410258293e-03,9.966871142387390137e-01
8.795405301498249173e-05,1.910656574182212353e-04,9.997209906578063965e-01
2.157267444999888539e-04,5.204521003179252148e-04,9.992638230323791504e-01
3.305547579657286406e-04,4.675295203924179077e-03,9.949942231178283691e-01
3.614816814661026001e-04,1.937580108642578125e-02,9.802626967430114746e-01
1.342349336482584476e-03,4.857221841812133789e-01,5.129354596138000488e-01
1.572217233479022980e-02,9.826378226280212402e-01,1.640024012885987759e-03
3.690333366394042969e-01,6.301360726356506348e-01,8.306233212351799011e-04
6.922721117734909058e-02,9.300289154052734375e-01,7.438424509018659592e-04
9.133720770478248596e-03,9.906380176544189453e-01,2.282078057760372758e-04
8.105605840682983398e-03,9.917751550674438477e-01,1.191805349662899971e-04
5.006077699363231659e-03,9.949448704719543457e-01,4.911608630209229887e-05
2.944837883114814758e-02,9.703338742256164551e-01,2.178180729970335960e-04
9.981158971786499023e-01,1.805918174795806408e-03,7.824310159776359797e-05
9.983479976654052734e-01,1.400425331667065620e-03,2.516442036721855402e-04
9.982112646102905273e-01,1.607165555469691753e-03,1.815686700865626335e-04
9.989024400711059570e-01,1.052752020768821239e-03,4.484176679397933185e-05
9.979908466339111328e-01,1.968709286302328110e-03,4.041640931973233819e-05
9.946374297142028809e-01,5.336801987141370773e-03,2.572898665675893426e-05
9.952369928359985352e-01,4.598811734467744827e-03,1.642211427679285407e-04
9.884195327758789062e-01,1.074020192027091980e-02,8.401889353990554810e-04
1.153820939362049103e-02,1.473611891269683838e-01,8.411006331443786621e-01
3.752511984203010798e-04,7.343944744206964970e-04,9.988903403282165527e-01
6.080400198698043823e-04,8.973425137810409069e-04,9.984946250915527344e-01
4.259073466528207064e-04,2.215329877799376845e-04,9.993525147438049316e-01
1.281093864236027002e-04,7.652606291230767965e-05,9.997953772544860840e-01
1.178199090645648539e-04,7.007398380665108562e-05,9.998121857643127441e-01
1.053361629601567984e-04,7.007484964560717344e-05,9.998245835304260254e-01
3.213778545614331961e-04,8.868231088854372501e-04,9.987918734550476074e-01
5.155143141746520996e-02,5.551994442939758301e-01,3.932491838932037354e-01
9.985703229904174805e-01,1.383797149173915386e-03,4.590223761624656618e-05
9.996497631072998047e-01,3.269364533480256796e-04,2.327625588804949075e-05
9.983666539192199707e-01,1.545920735225081444e-03,8.742773206904530525e-05
9.929947257041931152e-01,6.829173304140567780e-03,1.761492749210447073e-04
9.987902045249938965e-01,1.043116208165884018e-03,1.667426695348694921e-04
9.968315958976745605e-01,3.051725681871175766e-03,1.167131340480409563e-04
9.984382987022399902e-01,1.531064859591424465e-03,3.059963637497276068e-05
9.988388419151306152e-01,1.138876890763640404e-03,2.233855593658518046e-05
9.964097142219543457e-01,3.538691904395818710e-03,5.159302236279472709e-05
9.981901049613952637e-01,1.764736953191459179e-03,4.515201726462692022e-05
9.961693882942199707e-01,3.774151438847184181e-03,5.639521259581670165e-05
1.175914192572236061e-03,9.979264736175537109e-01,8.975570672191679478e-04
4.540103022009134293e-03,9.853158593177795410e-01,1.014404930174350739e-02
2.665655454620718956e-03,9.921208620071411133e-01,5.213471129536628723e-03
5.737928673624992371e-03,9.847452044486999512e-01,9.516927413642406464e-03
3.713298356160521507e-03,4.543922096490859985e-02,9.508474469184875488e-01
2.083207480609416962e-03,5.254648327827453613e-01,4.724519848823547363e-01
2.333178184926509857e-03,1.470234245061874390e-02,9.829644560813903809e-01
5.265217041596770287e-04,7.654183357954025269e-02,9.229316711425781250e-01
6.278802902670577168e-05,1.863329089246690273e-04,9.997509121894836426e-01
4.969738802174106240e-05,1.666551397647708654e-04,9.997836947441101074e-01
5.565945320995524526e-05,2.377528144279494882e-04,9.997065663337707520e-01
1.968462311197072268e-04,4.360573948360979557e-04,9.993670582771301270e-01
8.892358891898766160e-05,4.880118940491229296e-04,9.994231462478637695e-01
2.154947651433758438e-05,5.269649773254059255e-05,9.999257326126098633e-01
2.525173476897180080e-05,4.070461000083014369e-05,9.999340772628784180e-01
1.893869193736463785e-05,5.521366620087064803e-05,9.999258518218994141e-01
2.473229687893763185e-05,4.462367360247299075e-05,9.999306201934814453e-01
1.760075610945932567e-05,1.177087324322201312e-04,9.998646974563598633e-01
1.701786641206126660e-05,1.116205312428064644e-04,9.998713731765747070e-01
2.064041473204270005e-05,1.309309300268068910e-04,9.998483657836914062e-01
2.663511804712470621e-05,1.808491942938417196e-04,9.997925162315368652e-01
7.663919677725061774e-05,6.894561811350286007e-04,9.992339611053466797e-01
1.302495802519842982e-04,1.661176420748233795e-02,9.832580685615539551e-01
1.112985541112720966e-03,9.855914115905761719e-01,1.329563464969396591e-02
3.435032675042748451e-03,9.960624575614929199e-01,5.025021964684128761e-04
8.737599253654479980e-01,1.230364888906478882e-01,3.203598316758871078e-03
9.991325736045837402e-01,8.292271522805094719e-04,3.820313213509507477e-05
9.954184293746948242e-01,4.303665831685066223e-03,2.779332571662962437e-04
9.981065988540649414e-01,1.712083118036389351e-03,1.812588161556050181e-04
9.964074492454528809e-01,3.364076372236013412e-03,2.284560905536636710e-04
9.903483390808105469e-01,9.458489716053009033e-03,1.931363512994721532e-04
1.594327203929424286e-02,9.839719533920288086e-01,8.470848115393891931e-05
7.126900600269436836e-04,9.942571520805358887e-01,5.030194763094186783e-03
6.895975675433874130e-04,9.990023970603942871e-01,3.080402675550431013e-04
1.172674703411757946e-03,9.948561191558837891e-01,3.971137106418609619e-03
7.363302283920347691e-04,9.984629154205322266e-01,8.007338037714362144e-04
7.302841549972072244e-05,9.998064637184143066e-01,1.205801163450814784e-04
1.258704287465661764e-04,9.994770884513854980e-01,3.970520047005265951e-04
1.970399171113967896e-04,9.994663596153259277e-01,3.366156015545129776e-04
5.080802948214113712e-04,9.991342425346374512e-01,3.577477182261645794e-04
6.202558288350701332e-04,9.993429780006408691e-01,3.669861325761303306e-05
5.463572451844811440e-04,9.993946552276611328e-01,5.893560955883003771e-05
