,data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,Label
654,223,0,60.23809524,0.005488425,0.163443677,0,0,1.666666667,1,2
366,589,2,1818.619048,-0.035654866,0.271453043,441.6666667,0,4,3.571428571,1
854,71,2,9.666666667,0.012929717,0.155029111,0,0,1.333333333,1,2
625,221,5,59.71428571,0.003783173,0.165335035,0,0,1.761904762,1,1
56,767,5,235318.4286,-0.025669768,0.217503178,0,224.7142857,2.428571429,1.142857143,0
147,794,4,48575.28571,-0.027404419,0.257999458,0,362.7142857,1,1,0
851,76,0,13.14285714,0.007849503,0.146268887,0,0,1.095238095,1,2
125,919,3,76095.09524,-0.023327408,0.260300828,0,37.95238095,1,1,0
770,276,4,472.5714286,0.020661446,0.146838362,0,0,1.976190476,2.5,2
549,505,2,1361.714286,0.016327019,0.236303607,242.7142857,0,3.523809524,4,1
145,913,4,95041.71429,-0.021482971,0.230557581,0,46.0952381,1,1,0
446,93,3,32.04761905,0.023622929,0.27296301,0,0,1,1,1
9,37,3,35.42857143,-0.035663213,0.269793307,0,0,3,2.285714286,0
275,320,6,546.047619,-0.034288679,0.249587716,0,0,2.5,2.5,0
478,363,0,403.0952381,-0.017047213,0.289020466,0,0,2,2,1
585,501,5,1228.952381,0.035148722,0.271161158,211.2380952,0,3.142857143,4,1
548,520,3,1544,0.011958766,0.235688328,369.8571429,0,4,4,1
559,949,5,24184.66667,-0.011915933,0.233601968,0,362.7142857,1,1,1
640,389,5,435.5238095,0.010203113,0.142776207,0,0,2,2,2
582,220,4,62.28571429,0.002123094,0.173763911,0,0,1.80952381,1,1
573,502,6,1268.190476,0.033098141,0.261283458,219.6666667,0,3.238095238,4,1
688,882,1,83187.04762,0.011535516,0.162442323,0,29.71428571,1,1,2
814,244,0,85.85714286,0.0053125,0.084197068,0,0,1,1.142857143,2
669,236,6,74.76190476,0.016872727,0.206748617,0,0,1.047619048,1,2
269,206,4,88.42857143,-0.026237531,0.245229334,0,0,2.071428571,1.714285714,0
794,869,2,44105.71429,0.023440914,0.177578656,0,92.42857143,1,1,2
606,470,2,502.5714286,-0.033056006,0.265396596,4.714285714,0,2,2,1
325,209,0,77.66666667,-0.025537577,0.249419284,0,0,2,1.5,1
398,437,4,583.6666667,0.007882055,0.250440325,1.285714286,0,2,2,1
612,595,1,1565.428571,-0.02195839,0.216679605,413.952381,0,4,2.285714286,1
785,272,0,401.2857143,0.021321454,0.147948333,0,0,1.738095238,2.464285714,2
