,data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,Label
741,279,0,549.6190476,0.025378788,0.183909628,0,0,2.119047619,2.5,2
571,219,3,62.95238095,-0.007216262,0.185371974,0,0,1.857142857,1,1
479,567,1,1958.571429,0.018914828,0.222134312,482.3809524,0,4,4,1
304,99,2,37.57142857,-0.009250399,0.211879527,0,0,1,1,0
79,808,4,28488.28571,-0.021192846,0.220858017,0,569.1904762,1,1,0
828,69,0,9.238095238,0.016653934,0.157696489,0,0,1.428571429,1,2
288,747,6,346780.1905,0.012620128,0.19354743,0.095238095,125,3.714285714,2.571428571,0
256,655,5,6320.142857,0.010709019,0.210300178,664.8095238,16.23809524,2,4,0
497,407,2,579.6666667,0.017369083,0.255618109,0,0,2,2,1
322,101,4,36.47619048,-8.85E-05,0.237781917,0,0,1,1,1
371,413,1,625,0.006401029,0.271082644,0,0,2,2,1
311,652,2,6075.619048,0.015392718,0.220122975,635.1904762,13.19047619,1.571428571,4,0
804,482,0,541.952381,0.014244123,0.112943811,37.85714286,0,2,3,2
361,451,4,575.3333333,-0.012837424,0.226649773,1.666666667,0,2,2,1
578,887,6,99037.80952,0.023712029,0.221551498,0,16,1,1,1
168,823,5,13995.19048,-0.028344017,0.258769688,0,466.6666667,1,1,0
63,781,5,105245.2381,-0.033695198,0.26339452,0,374.2380952,1.428571429,1,0
173,934,4,41434.2381,-0.019080294,0.221797755,0,169.1904762,1,1,0
627,643,0,4820.761905,0.039860471,0.28176667,523.6666667,5.619047619,1,2.928571429,1
111,924,1,65755.28571,-0.029510829,0.26385789,0,35.0952381,1,1,0
451,333,5,396.047619,-0.009572942,0.223036884,0,0,2.5,2.321428571,1
281,116,5,31.76190476,0.005519481,0.261235617,0,0,1,1,0
509,373,3,396.9047619,0.021889157,0.278347568,0,0,2,2,1
287,653,3,6184.428571,0.01585432,0.221897004,643,14.23809524,1.714285714,4,0
863,844,5,7477.809524,0.001559856,0.057376145,0,193.7619048,1,1,2
24,9,3,343.7142857,-0.039128949,0.279209292,0,0,1.904761905,2.785714286,0
694,169,2,154.9047619,0.045057296,0.30483795,0,0,1.476190476,2.357142857,2
220,664,0,5725,-0.029097026,0.252216396,666.2380952,47.38095238,3.285714286,4,0
901,857,4,15774.09524,0.015231719,0.112684913,0,98.14285714,1,1,2
155,912,3,100063.5714,-0.022408398,0.217959561,0,46,1,1,0
529,378,1,412.5714286,0.01088407,0.197282755,0,0,2,2,1
622,557,5,1716.571429,0.006455409,0.1276667,494.5238095,0,4,4,1
848,719,6,88416.38095,0.019876354,0.132788693,0.476190476,289.7142857,4,4,2
527,377,0,409.8095238,0.016412487,0.210508076,0,0,2,2,1
165,137,5,22.66666667,-0.010844156,0.238790354,0,0,1,1,0
630,228,5,65.61904762,0.013649351,0.243628327,0,0,1.428571429,1,1
487,361,5,395.8095238,-0.00959041,0.292790403,0,0,2.047619048,2,1
682,472,4,495.6666667,-0.008657057,0.121868743,7.428571429,0,2,2,2
581,553,1,1707.666667,-0.000399339,0.125079818,495.6666667,0,4,4,1
382,435,2,590.3333333,-0.005021388,0.259511341,1.285714286,0,2,2,1
689,88,5,24.76190476,0.028220985,0.269088809,0,0,1,1,2
237,656,6,6341,0.006353946,0.206901012,677,18.04761905,2.142857143,4,0
792,480,5,519.7619048,0.011716386,0.105337307,27.38095238,0,2,2.714285714,2
97,194,6,153.4761905,-0.029085914,0.214812492,0,0,2.357142857,2,0
247,750,2,356104.2381,-0.003492569,0.167249034,0.047619048,115.7142857,3.571428571,2.357142857,0
646,393,2,450.8095238,0.01125089,0.136577783,0,0,2,2,2
619,562,3,1756.285714,0.002758967,0.117090467,476.4761905,0,4,4,1
818,79,3,16.28571429,0.003896104,0.142780745,0,0,1,1,2
396,892,4,110247.0476,0.022471842,0.269443408,0,13.85714286,1,1,1
89,806,2,30801.61905,-0.025887072,0.241418297,0,560.1428571,1,1,0
407,332,4,402.3809524,-0.011019042,0.22783478,0,0,2.5,2.357142857,1
874,714,1,57565.47619,0.018278718,0.11941648,1.761904762,451.8095238,4,4,2
277,585,5,2081.52381,-0.030232708,0.234269769,450.6190476,0,4,4,0
59,766,4,245489.9524,-0.025123924,0.214969682,0,216.7142857,2.476190476,1.214285714,0
