data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable
758,3,0.4918,-0.0184,0.1877,0,1,0.3465,0.1389,-0.005603613237359273,0,0.1165,0.1739,0.67,0.58,-0.0575,12.1,-0.1473,94296.2,0.3364,-0.0154,617047.0,617047,280282,0.454,0
30,3,0.4146,-0.0263,0.2347,0,0,0.75,0.4352,-0.008339230419426913,0,0.0858,0.1715,0.5,0.5,-0.0858,8.1,0.607,-3.1,-0.1538,-0.0019,125.7,125,19,0.154,1
739,5,0.3035,0.0332,0.2389,0,1,0.4061,0.3796,0.001813302921013359,1,0.0811,0.03,2.703,2.394,0.0511,13.6,0.9402,41106.9,0.0819,-0.0122,681834.3,167830,502201,2.992,1
620,5,0.1955,0.0118,0.1261,1,0,0.4215,0.4443,0.006541512200142266,2,0.0447,0.03,1.488,1.487,0.0147,47.3,0.4756,604.2,0.1827,0.0065,3645.1,2015,3306,1.639,1
380,3,0.2529,0.0004,0.1294,0,0,0.5833,0.5833,0.00176009604545835,1,0.167,0.1662,1.005,1.004,0.0008,inf,0.0011,-39.0,-0.1037,-0.0133,471.7,407,375,0.917,1
457,3,0.5991,-0.0031,0.2283,0,0,0.5,0.4329,-0.001827987513332966,1,0.1047,0.1132,0.925,0.924,-0.0085,81.3,-0.2116,-24.9,-0.0489,0.0081,708.5,631,507,0.802,0
67,5,0.1296,0.0197,0.1601,0,0,0.4248,0.5443,0.01424824802233137,2,0.1863,0.0894,2.084,2.084,0.0969,7.2,0.6449,-4.4,-0.196,0.3769,44.3,3,21,4.548,1
136,4,0.4493,-0.0185,0.2415,0,0,0.5324,0.5324,-0.004446991409610314,0,0.0879,0.1639,0.536,0.536,-0.076,9.1,0.1173,29.0,0.7114,0.065,49.3,49,39,0.792,1
849,3,0.0739,0.0051,0.0531,0,1,0.1389,0.1389,0.03124359035674079,2,0.0468,0.03,1.56,1.555,0.0168,41.2,0.2086,7707.5,0.3969,0.0441,21704.4,8371,19419,2.32,1
139,0,0.4934,-0.0006,0.2231,0,0,0.5324,0.5324,-0.003602311850254053,0,0.1299,0.1357,0.957,0.957,-0.0058,119.9,-0.0182,-8.2,-0.6347,0.0972,34.5,22,11,0.506,0
